Model,Manufacturer,Model_year,Drivetrain,Warranty,Accident,Condition,Battery,Mileage,knn,knn_2,Price
TayCT,P사,y2,AWD,w0,No,Nearly New,76.093,30844,119.65,119.65,119.65
Niro,K사,y0,AWD,w3,No,Pre-Owned,48.093,67271,28.46,28.46,28.46
M3,T사,y0,RWD,w8,No,Brand New,90.0,1993,54.28,54.28,54.29
ID4,V사,y2,AWD,w6,No,Nearly New,70.963,47170,37.65,37.65,37.66
MY,T사,y1,AWD,w5,No,Nearly New,66.355,41579,74.22,74.22,74.23
ION6,H사,y0,AWD,w9,No,Brand New,90.0,9499,38.22,38.22,38.23
Tay,P사,y0,AWD,w2,No,Nearly New,67.268,49157,120.22,120.22,120.23
ID4,V사,y0,AWD,w7,No,Brand New,90.0,5290,33.46,33.46,33.47
Tay,P사,y0,AWD,w2,No,Pre-Owned,61.994,75756,118.82,118.82,118.82
Q4eT,A사,y0,AWD,w1,No,Pre-Owned,61.619,126813,57.69,57.69,57.7
Niro,K사,y0,FWD,w2,No,Pre-Owned,46.169,139969,27.2,27.2,27.2
M3,T사,y0,RWD,w0,No,Pre-Owned,51.94,175220,50.88,50.88,50.88
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,3683,59.66,59.66,59.66
MX,T사,y0,AWD,w8,No,Brand New,99.8,7081,70.88,70.88,70.89
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,184186,125.01,125.0,125.02
MY,T사,y2,AWD,w6,No,Nearly New,69.12,19034,67.58,67.58,67.58
EV6,K사,y0,FWD,w9,No,Brand New,90.0,2922,40.83,40.83,40.86
i5,B사,y0,RWD,w0,No,Pre-Owned,56.234,117129,60.02,60.02,60.02
Q4eT,A사,y0,AWD,w0,No,Pre-Owned,56.788,146137,55.79,55.79,56.0
ION6,H사,y0,AWD,w9,No,Brand New,90.0,6240,38.92,38.92,38.92
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,1900,59.66,59.66,60.0
i5,B사,y0,RWD,w1,No,Pre-Owned,61.018,127596,63.54,63.54,63.55
MY,T사,y0,AWD,w3,No,Nearly New,61.153,18572,78.53,78.53,78.54
i5,B사,y0,RWD,w0,No,Pre-Owned,58.577,90301,59.88,59.88,59.88
i3,B사,y0,AWD,w7,No,Brand New,90.0,1803,24.32,24.32,24.33
M3,T사,y0,RWD,w8,No,Brand New,90.0,1091,54.62,54.62,54.63
ID4,V사,y0,AWD,w8,No,Brand New,90.0,5980,40.54,40.54,40.55
KNE,H사,y2,FWD,w8,No,Nearly New,68.488,34478,27.5,27.5,28.66
eT,A사,y0,AWD,w3,Yes,Nearly New,77.46,20556,74.0,74.0,74.0
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,64.683,60861,151.0,151.0,151.01
ION5,H사,y0,AWD,w10,No,Brand New,90.0,5978,35.57,35.57,35.58
eT,A사,y0,AWD,w3,No,Nearly New,77.46,47197,73.57,73.57,73.93
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,3954,59.57,59.57,60.0
MY,T사,y0,AWD,w8,No,Brand New,90.0,3810,75.16,75.16,75.16
ION6,H사,y0,AWD,w4,No,Pre-Owned,60.585,141611,37.99,37.99,38.0
Q4eT,A사,y0,AWD,w4,No,Nearly New,69.646,42817,58.79,58.79,58.59
MS,T사,y0,AWD,w7,No,Brand New,96.0,89,69.25,69.25,69.26
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,179759,125.14,125.0,125.15
ION5,H사,y0,AWD,w4,No,Pre-Owned,60.585,75288,35.0,35.0,35.0
iX,B사,y0,RWD,w8,No,Brand New,90.0,3528,80.77,80.77,80.77
IONIQ,H사,y0,FWD,w3,No,Nearly New,46.13,33527,23.59,23.59,23.6
TayCT,P사,y0,AWD,w2,No,Nearly New,76.093,21636,131.54,131.54,131.53
IONIQ,H사,y2,FWD,w1,No,Pre-Owned,69.38,79763,15.43,15.43,15.43
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,5501,160.15,160.15,160.16
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,5439,59.72,59.72,59.94
i5,B사,y0,AWD,w3,No,Nearly New,66.208,48997,64.84,64.84,64.84
KNE,H사,y0,FWD,w1,No,Pre-Owned,68.488,154969,27.9,27.9,27.24
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,1363,120.0,121.0,120.0
i5,B사,y0,RWD,w8,No,Brand New,90.0,1406,64.19,64.19,64.2
i3,B사,y2,RWD,w6,No,Nearly New,56.0,35193,23.95,23.95,23.96
i5,B사,y0,AWD,w4,No,Nearly New,68.967,49852,63.48,63.48,64.63
Niro,K사,y0,FWD,w1,No,Pre-Owned,46.0,138970,27.29,27.29,27.56
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,4410,160.59,160.59,160.6
i3,B사,y2,AWD,w6,No,Nearly New,56.0,13559,23.89,23.89,23.94
KNE,H사,y0,FWD,w9,No,Brand New,90.0,7812,25.23,25.23,25.24
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,120829,40.32,40.32,39.5
KNE,H사,y0,FWD,w9,No,Brand New,90.0,204,24.03,24.03,25.46
KNE,H사,y0,FWD,w10,No,Brand New,90.0,116,22.47,22.47,22.47
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,3589,160.02,160.02,160.02
i3,B사,y0,RWD,w7,No,Brand New,90.0,9655,24.84,24.84,24.85
ION6,H사,y1,AWD,w7,No,Nearly New,68.479,25700,37.49,37.49,37.5
MS,T사,y2,AWD,w6,No,Nearly New,92.16,17525,75.63,75.63,75.64
Soul,K사,y0,FWD,w6,No,Nearly New,56.0,45359,23.56,23.56,23.56
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,8366,159.99,159.99,160.0
Niro,K사,y0,FWD,w1,No,Pre-Owned,46.0,180403,26.6,26.6,26.61
Tay,P사,y0,AWD,w2,No,Brand New,90.0,5539,99.86,103.0,104.52
Niro,K사,y0,AWD,w4,No,Pre-Owned,50.096,187819,28.06,28.06,27.79
M3,T사,y0,RWD,w1,No,Pre-Owned,56.359,175078,52.89,52.89,52.9
EV6,K사,y0,AWD,w10,No,Brand New,90.0,2030,47.32,47.32,48.05
Tay,P사,y0,AWD,w2,No,Brand New,90.0,1288,103.78,95.0,103.78
RSeTGT,A사,y0,AWD,w1,No,Pre-Owned,78.227,79924,97.8,97.8,97.8
TayGTS,P사,y1,AWD,w1,No,Nearly New,82.634,33650,159.27,159.27,159.26
RSeTGT,A사,y0,AWD,w4,No,Nearly New,78.227,39406,99.14,99.14,99.14
i5,B사,y0,AWD,w4,No,Nearly New,68.967,36512,63.86,63.86,63.87
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,8842,130.31,121.0,130.32
M3,T사,y0,RWD,w1,No,Pre-Owned,56.359,182757,52.36,52.36,52.36
iX,B사,y0,AWD,w8,No,Brand New,90.0,3644,80.29,80.29,80.38
KNE,H사,y0,FWD,w9,No,Brand New,90.0,5273,25.11,25.11,25.12
Niro,K사,y0,FWD,w6,Yes,Nearly New,56.0,41461,28.5,28.5,28.51
M3,T사,y1,RWD,w5,No,Nearly New,66.355,18246,53.34,53.34,53.34
i3,B사,y2,RWD,w6,No,Nearly New,56.0,35032,23.18,23.18,23.18
ION6,H사,y0,AWD,w9,No,Brand New,90.0,3282,38.56,38.56,38.19
i3,B사,y0,RWD,w3,No,Nearly New,56.0,11675,23.48,23.48,23.49
KNE,H사,y0,FWD,w9,No,Brand New,90.0,2751,24.72,24.72,24.73
Tay,P사,y0,AWD,w2,No,Brand New,90.0,7581,97.26,103.0,103.01
MY,T사,y0,AWD,w3,No,Nearly New,61.153,21250,78.22,78.22,78.23
MX,T사,y1,AWD,w5,No,Nearly New,88.474,31445,94.35,94.35,94.36
Tay,P사,y0,AWD,w2,No,Pre-Owned,54.849,185722,114.57,114.57,114.57
Niro,K사,y0,FWD,w2,No,Pre-Owned,46.169,133107,26.37,26.37,26.37
i3,B사,y0,RWD,w7,No,Brand New,90.0,5510,24.69,24.69,24.7
i5,B사,y0,RWD,w7,No,Brand New,90.0,79,65.04,65.04,64.39
MY,T사,y0,AWD,w2,No,Pre-Owned,58.707,193897,76.16,76.16,76.17
iX,B사,y0,RWD,w8,No,Brand New,90.0,380,79.68,79.68,79.69
i3,B사,y1,AWD,w5,No,Nearly New,56.0,48052,24.0,24.0,24.0
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,29844,41.21,41.21,41.21
iX,B사,y0,RWD,w7,No,Brand New,90.0,3552,80.75,80.75,80.75
i3,B사,y0,RWD,w4,No,Nearly New,56.0,32034,23.54,23.54,24.0
MX,T사,y0,AWD,w7,No,Brand New,96.0,4377,77.15,77.15,77.16
Tay,P사,y0,AWD,w2,No,Brand New,90.0,811,97.04,103.0,97.05
ION6,H사,y0,AWD,w10,No,Brand New,90.0,6316,38.93,38.93,38.99
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,74691,124.33,125.0,124.34
ION5,H사,y0,AWD,w1,No,Pre-Owned,53.602,141575,33.84,33.84,34.26
iX,B사,y0,RWD,w8,No,Brand New,90.0,1915,79.86,79.86,79.87
IONIQ,H사,y0,FWD,w1,No,Pre-Owned,46.15,77865,23.35,23.35,23.36
Soul,K사,y0,AWD,w5,No,Nearly New,56.0,33552,22.49,22.49,22.5
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,7143,160.15,160.15,160.16
ID4,V사,y0,AWD,w8,No,Brand New,90.0,8223,39.71,39.71,40.11
ION5,H사,y0,AWD,w10,No,Brand New,90.0,7070,35.73,35.73,35.59
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,168691,27.41,27.41,27.41
i5,B사,y0,RWD,w2,No,Pre-Owned,63.56,151902,61.86,61.86,61.87
ID4,V사,y0,AWD,w0,No,Pre-Owned,53.325,78686,39.2,39.2,38.36
Soul,K사,y2,FWD,w8,No,Nearly New,58.982,46126,23.56,23.56,23.57
i3,B사,y1,RWD,w5,No,Nearly New,56.0,11041,23.91,23.91,23.92
Soul,K사,y0,FWD,w1,No,Pre-Owned,46.0,53947,22.31,22.31,22.32
RSeTGT,A사,y0,AWD,w3,No,Nearly New,78.227,43821,99.46,99.46,99.46
iX,B사,y0,RWD,w7,No,Brand New,90.0,3062,80.17,80.17,80.17
KNE,H사,y0,FWD,w10,No,Brand New,90.0,8890,22.06,22.06,21.83
EV6,K사,y0,FWD,w10,No,Brand New,90.0,840,47.61,47.61,47.14
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,67.378,184101,151.1,151.1,151.11
ION5,H사,y0,AWD,w2,No,Pre-Owned,55.836,171052,34.24,34.24,34.25
i3,B사,y0,RWD,w2,No,Pre-Owned,46.0,81749,22.95,22.95,22.95
EV6,K사,y0,FWD,w9,No,Brand New,90.0,3728,40.65,40.65,40.65
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,7095,100.13,100.13,100.13
i3,B사,y0,RWD,w4,No,Nearly New,56.0,45378,24.0,24.0,24.0
eT,A사,y0,AWD,w2,No,Pre-Owned,74.362,167654,72.42,72.42,72.43
ION6,H사,y0,AWD,w3,No,Pre-Owned,58.162,167521,37.99,37.99,38.0
iX,B사,y0,RWD,w7,No,Brand New,90.0,6964,79.24,79.24,79.25
KNE,H사,y0,FWD,w9,No,Brand New,90.0,553,24.62,24.62,24.62
i3,B사,y0,AWD,w0,No,Pre-Owned,46.0,149633,22.74,22.74,22.75
KNE,H사,y0,FWD,w2,No,Pre-Owned,68.488,113054,27.82,27.82,27.82
Tay,P사,y0,AWD,w2,No,Pre-Owned,59.515,189249,118.9,118.9,117.81
KNE,H사,y0,FWD,w1,No,Pre-Owned,68.488,72787,27.22,27.22,27.23
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,174287,125.13,125.0,125.13
ID4,V사,y0,AWD,w8,No,Brand New,90.0,9094,39.54,39.54,39.86
i3,B사,y0,AWD,w7,No,Brand New,90.0,3261,24.84,24.84,25.0
Soul,K사,y0,FWD,w9,No,Brand New,90.0,815,20.93,20.93,20.93
Tay,P사,y0,AWD,w2,No,Nearly New,64.578,40967,121.78,121.78,121.78
ION6,H사,y0,AWD,w9,No,Brand New,90.0,1400,38.66,38.66,38.67
Soul,K사,y0,AWD,w10,No,Brand New,90.0,584,17.42,17.42,17.43
eT,A사,y0,AWD,w8,No,Brand New,95.0,5867,60.72,60.72,60.72
ION6,H사,y0,AWD,w10,No,Brand New,90.0,9999,38.57,38.57,38.57
KNE,H사,y0,FWD,w4,No,Pre-Owned,68.488,78296,27.54,27.54,27.54
ION6,H사,y0,AWD,w10,No,Brand New,90.0,2325,38.89,38.89,38.89
MX,T사,y0,AWD,w4,No,Nearly New,96.0,29549,92.91,92.91,92.91
ID4,V사,y2,AWD,w6,Yes,Nearly New,70.963,22276,36.43,36.43,36.43
EV6,K사,y0,AWD,w10,No,Brand New,90.0,6426,48.23,48.23,48.23
MY,T사,y0,AWD,w7,No,Brand New,90.0,5595,64.56,64.56,64.56
EV6,K사,y0,AWD,w9,No,Brand New,90.0,1420,40.12,40.12,40.13
ION6,H사,y0,AWD,w9,No,Brand New,90.0,5561,38.95,38.95,38.95
MY,T사,y0,AWD,w2,No,Pre-Owned,58.707,56205,75.64,75.64,76.35
MY,T사,y0,AWD,w3,No,Nearly New,61.153,18405,77.35,77.35,77.35
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,79386,94.2,94.2,94.32
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,287,100.11,100.11,100.12
ION6,H사,y0,AWD,w3,No,Pre-Owned,58.162,152717,37.67,37.67,37.68
EV6,K사,y0,FWD,w9,No,Brand New,90.0,5756,41.2,41.2,40.89
IONIQ,H사,y2,FWD,w3,No,Nearly New,63.99,36402,26.69,26.69,26.7
ION6,H사,y0,AWD,w9,No,Brand New,90.0,2694,38.58,38.58,38.58
Q4eT,A사,y0,AWD,w2,No,Pre-Owned,64.186,87984,57.36,57.36,57.37
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,7523,59.09,59.09,59.1
Niro,K사,y0,AWD,w10,No,Brand New,90.0,8930,20.6,20.6,20.61
i5,B사,y0,RWD,w0,No,Pre-Owned,56.234,72239,60.15,60.15,60.15
i5,B사,y0,RWD,w3,No,Nearly New,66.208,45693,63.35,63.35,63.36
Soul,K사,y0,FWD,w2,No,Pre-Owned,46.169,118441,23.43,23.43,23.43
ID4,V사,y0,AWD,w8,No,Brand New,90.0,384,40.03,40.03,39.78
ION5,H사,y0,AWD,w10,No,Brand New,90.0,5450,35.82,35.82,35.82
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,6293,59.99,59.99,60.0
Niro,K사,y0,FWD,w10,No,Brand New,90.0,875,21.79,21.79,22.52
MY,T사,y0,AWD,w4,No,Nearly New,63.701,16555,78.36,78.36,78.37
ION5,H사,y0,AWD,w3,No,Pre-Owned,58.162,155186,34.04,34.04,34.05
Soul,K사,y2,FWD,w8,No,Nearly New,58.982,28854,22.81,22.81,22.82
Q4eT,A사,y1,AWD,w5,No,Nearly New,72.548,11792,58.76,58.76,58.77
EV6,K사,y0,AWD,w9,Yes,Brand New,90.0,2775,40.8,40.8,40.81
Soul,K사,y0,AWD,w2,No,Pre-Owned,46.169,122640,22.11,22.11,22.12
Soul,K사,y2,FWD,w8,No,Nearly New,58.982,12095,23.22,23.22,23.22
Niro,K사,y0,AWD,w1,No,Pre-Owned,46.0,97757,27.21,27.21,27.63
KNE,H사,y0,FWD,w9,No,Brand New,90.0,4642,24.35,24.35,24.35
Tay,P사,y0,AWD,w2,No,Brand New,90.0,1494,96.41,103.0,96.42
RSeTGT,A사,y0,AWD,w2,No,Pre-Owned,78.227,159799,97.0,97.0,97.0
eT,A사,y0,AWD,w7,No,Brand New,91.2,3974,65.13,65.13,66.06
KNE,H사,y0,FWD,w5,No,Nearly New,68.488,37198,28.6,28.6,28.61
ION6,H사,y0,AWD,w5,No,Nearly New,63.11,16296,37.47,37.47,37.47
Tay,P사,y2,AWD,w0,No,Nearly New,72.991,47791,121.57,121.57,121.57
Tay,P사,y0,AWD,w2,No,Pre-Owned,59.515,156448,117.26,117.26,117.83
EV6,K사,y0,FWD,w9,No,Brand New,90.0,8904,40.21,40.21,40.22
ID4,V사,y0,AWD,w7,No,Brand New,90.0,2884,34.34,34.34,34.34
MS,T사,y0,AWD,w8,No,Brand New,99.8,2422,64.1,64.1,64.22
EV6,K사,y0,AWD,w9,No,Brand New,90.0,5660,40.21,40.21,40.72
EV6,K사,y0,FWD,w9,No,Brand New,90.0,7434,41.18,41.18,41.19
i5,B사,y0,AWD,w7,No,Brand New,90.0,4269,65.09,65.09,65.09
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,3363,59.95,59.95,59.95
Niro,K사,y0,FWD,w3,No,Pre-Owned,48.093,119143,27.93,27.93,27.06
eT,A사,y0,AWD,w2,No,Pre-Owned,74.362,73876,72.26,72.26,72.4
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,41219,40.71,40.71,40.71
EV6,K사,y0,FWD,w10,No,Brand New,90.0,7094,48.17,48.17,48.17
Soul,K사,y0,FWD,w4,No,Pre-Owned,50.096,91811,22.57,22.57,22.57
IONIQ,H사,y0,FWD,w3,No,Nearly New,46.13,47892,9.91,9.91,9.92
TayGTS,P사,y1,AWD,w1,No,Nearly New,82.634,21622,159.25,159.25,159.26
RSeTGT,A사,y0,AWD,w0,Yes,Pre-Owned,78.227,187973,94.41,94.41,94.42
i3,B사,y0,RWD,w8,No,Brand New,90.0,3731,24.11,24.11,24.12
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,1292,120.08,121.0,120.08
ID4,V사,y0,AWD,w7,No,Brand New,90.0,8862,34.28,34.28,34.28
ION5,H사,y0,AWD,w4,No,Pre-Owned,60.585,65763,34.84,34.84,34.25
i5,B사,y0,RWD,w4,No,Nearly New,68.967,47801,64.61,64.61,64.62
ION5,H사,y0,AWD,w6,No,Nearly New,65.739,48691,34.82,34.82,34.82
i5,B사,y0,RWD,w3,No,Nearly New,66.208,43969,63.61,63.61,64.43
MX,T사,y0,AWD,w7,No,Brand New,96.0,1878,78.14,78.14,78.15
i3,B사,y0,RWD,w1,No,Pre-Owned,46.0,152477,23.06,23.06,23.06
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,40246,40.88,40.88,40.89
MS,T사,y0,AWD,w7,No,Brand New,96.0,3623,70.48,70.48,70.49
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,1804,99.99,99.99,100.0
Soul,K사,y0,AWD,w1,No,Pre-Owned,46.0,110214,22.76,22.76,22.76
i3,B사,y0,RWD,w1,No,Pre-Owned,46.0,186730,23.4,23.4,23.41
M3,T사,y0,RWD,w7,No,Brand New,90.0,2899,45.99,45.99,46.0
MS,T사,y1,AWD,w5,No,Nearly New,88.474,14877,84.0,84.0,84.0
KNE,H사,y0,FWD,w1,No,Pre-Owned,68.488,105450,27.47,27.47,27.47
ION6,H사,y0,AWD,w9,No,Brand New,90.0,7233,38.94,38.94,38.94
iX,B사,y0,RWD,w8,No,Brand New,90.0,3209,80.75,80.75,80.75
ION5,H사,y1,AWD,w7,No,Nearly New,68.479,46831,35.0,35.0,35.0
ID4,V사,y0,AWD,w8,No,Brand New,90.0,8049,39.07,39.07,39.08
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,8863,129.73,121.0,129.74
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,7191,59.77,59.77,60.0
i5,B사,y0,AWD,w1,No,Pre-Owned,61.018,105413,63.65,63.65,63.66
Soul,K사,y0,AWD,w3,No,Pre-Owned,48.093,183728,22.85,22.85,22.95
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,5863,100.01,100.01,100.02
Niro,K사,y0,AWD,w2,No,Pre-Owned,46.169,121470,27.23,27.23,26.89
i3,B사,y0,AWD,w1,No,Pre-Owned,46.0,136461,23.49,23.49,23.5
ID4,V사,y0,AWD,w0,No,Pre-Owned,55.547,129947,38.97,38.97,38.29
EV6,K사,y0,FWD,w9,No,Brand New,90.0,4651,41.0,41.0,41.01
iX,B사,y0,AWD,w7,No,Brand New,90.0,3733,79.67,79.67,79.68
MS,T사,y1,AWD,w5,No,Nearly New,88.474,10618,83.41,83.41,83.41
ION5,H사,y2,AWD,w8,No,Nearly New,71.332,44407,34.96,34.96,34.97
Niro,K사,y2,AWD,w8,No,Nearly New,58.982,13164,28.05,28.05,28.05
TayCT,P사,y2,AWD,w0,No,Nearly New,76.093,24806,119.0,119.0,119.0
ION6,H사,y0,AWD,w5,No,Nearly New,63.11,48182,37.35,37.35,37.13
iX,B사,y0,RWD,w8,Yes,Brand New,90.0,5415,80.37,80.37,80.38
MS,T사,y2,AWD,w6,No,Nearly New,92.16,28796,75.63,75.63,75.63
Niro,K사,y2,FWD,w8,No,Nearly New,58.982,41909,27.9,27.9,28.6
RSeTGT,A사,y0,AWD,w4,No,Nearly New,78.227,15945,99.01,99.01,99.01
eT,A사,y2,AWD,w6,No,Nearly New,87.552,23678,74.57,74.57,74.58
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,6604,160.69,160.69,160.69
Niro,K사,y0,FWD,w10,No,Brand New,90.0,193,22.2,22.2,22.45
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,59209,124.23,125.0,124.24
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,160074,28.32,28.32,28.33
iX,B사,y0,AWD,w8,No,Brand New,90.0,2360,80.09,80.09,80.09
MS,T사,y0,AWD,w0,No,Pre-Owned,72.139,128051,78.14,78.14,78.15
EV6,K사,y0,FWD,w9,No,Brand New,90.0,2634,41.45,41.45,40.15
ION6,H사,y0,AWD,w10,No,Brand New,90.0,8109,38.95,38.95,38.96
EV6,K사,y0,FWD,w10,No,Brand New,90.0,4157,48.43,48.43,47.45
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,53956,94.83,94.83,94.83
i5,B사,y0,AWD,w8,No,Brand New,90.0,2418,64.63,64.63,64.64
ID4,V사,y0,AWD,w7,No,Brand New,90.0,459,34.82,34.82,34.82
RSeTGT,A사,y0,AWD,w3,No,Nearly New,78.227,31611,99.04,99.04,99.05
MY,T사,y0,AWD,w7,No,Brand New,90.0,6077,63.42,63.42,63.42
eT,A사,y0,AWD,w2,No,Pre-Owned,74.362,193451,71.9,71.9,71.91
M3,T사,y0,RWD,w8,No,Brand New,90.0,5883,54.64,54.64,54.65
ION5,H사,y0,AWD,w5,No,Nearly New,63.11,18040,34.41,34.41,35.0
EV6,K사,y0,FWD,w9,No,Brand New,90.0,1631,40.71,40.71,40.71
iX,B사,y0,RWD,w8,No,Brand New,90.0,8096,80.02,80.02,80.02
MS,T사,y0,AWD,w2,No,Pre-Owned,78.276,188827,80.86,80.86,80.86
i3,B사,y0,RWD,w1,No,Pre-Owned,46.0,60935,22.97,22.97,22.97
iX,B사,y0,RWD,w8,No,Brand New,90.0,7002,79.63,79.63,79.64
M3,T사,y0,RWD,w1,No,Pre-Owned,56.359,108933,52.79,52.79,52.79
Tay,P사,y0,AWD,w2,No,Brand New,90.0,2902,95.77,103.0,95.78
MX,T사,y0,AWD,w8,No,Brand New,99.8,6520,72.51,72.51,72.52
Tay,P사,y0,AWD,w2,No,Brand New,90.0,5174,95.83,103.0,95.84
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,6704,120.61,121.0,120.61
Niro,K사,y0,FWD,w1,No,Pre-Owned,46.0,147021,27.14,27.14,27.14
RSeTGT,A사,y2,AWD,w6,No,Nearly New,78.227,42454,99.31,99.31,99.32
EV6,K사,y0,FWD,w9,No,Brand New,90.0,4147,40.75,40.75,40.75
TayCT,P사,y0,AWD,w2,No,Nearly New,76.093,24495,131.48,131.48,131.48
i3,B사,y0,RWD,w2,No,Pre-Owned,46.0,123499,23.33,23.33,23.33
Tay,P사,y0,AWD,w2,No,Nearly New,64.578,48493,121.72,121.72,121.73
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,94906,125.28,125.0,124.67
Niro,K사,y0,AWD,w1,No,Pre-Owned,46.0,59671,28.36,28.36,28.09
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,21386,41.25,41.25,41.26
MY,T사,y0,AWD,w7,No,Brand New,90.0,6134,64.04,64.04,63.59
Q4eT,A사,y0,AWD,w3,Yes,Nearly New,66.861,37988,58.6,58.6,58.49
iX,B사,y0,RWD,w7,No,Brand New,90.0,8644,79.43,79.43,79.44
KNE,H사,y0,FWD,w9,No,Brand New,90.0,6642,24.47,24.47,24.48
eT,A사,y0,AWD,w4,No,Nearly New,80.688,22863,72.89,72.89,73.67
ID4,V사,y0,AWD,w7,No,Brand New,90.0,3713,33.57,33.57,33.36
Soul,K사,y0,FWD,w4,No,Pre-Owned,50.096,96182,22.8,22.8,22.8
Tay,P사,y0,AWD,w2,No,Nearly New,67.268,39251,121.24,121.24,121.24
ID4,V사,y2,AWD,w6,No,Nearly New,70.963,35679,37.13,37.13,37.14
Soul,K사,y0,FWD,w2,No,Pre-Owned,46.169,130235,22.62,22.62,22.63
MX,T사,y0,AWD,w7,No,Brand New,96.0,1734,78.3,78.3,78.08
iX,B사,y0,AWD,w7,No,Brand New,90.0,3619,80.11,80.11,80.12
TayCT,P사,y0,AWD,w2,No,Nearly New,76.093,21856,131.79,131.79,131.79
M3,T사,y0,RWD,w4,No,Nearly New,63.701,20498,53.98,53.98,53.99
MY,T사,y0,AWD,w7,No,Brand New,90.0,9367,64.4,64.4,64.41
KNE,H사,y0,FWD,w3,No,Pre-Owned,68.488,137776,27.83,27.83,27.83
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,6189,59.91,59.91,59.92
Tay,P사,y0,AWD,w2,No,Pre-Owned,54.849,116413,115.48,115.48,115.49
ID4,V사,y0,AWD,w7,Yes,Brand New,90.0,135,34.46,34.46,34.47
i5,B사,y0,AWD,w7,No,Brand New,90.0,1146,65.09,65.09,65.09
Tay,P사,y0,AWD,w2,No,Brand New,90.0,5743,96.83,103.0,104.56
ID4,V사,y0,AWD,w0,No,Pre-Owned,55.547,88922,39.19,39.19,39.2
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,73.11,58743,155.85,155.85,155.86
eT,A사,y0,AWD,w0,Yes,Pre-Owned,68.532,69741,69.8,69.8,69.81
Niro,K사,y0,FWD,w3,No,Pre-Owned,48.093,113369,28.11,28.11,28.12
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,3394,59.77,59.77,59.97
MY,T사,y1,AWD,w5,No,Nearly New,66.355,35302,73.92,73.92,73.92
RSeTGT,A사,y0,AWD,w2,No,Pre-Owned,78.227,78344,97.92,97.92,97.93
MS,T사,y0,AWD,w4,No,Nearly New,84.935,27553,83.44,83.44,83.44
iX,B사,y0,RWD,w8,No,Brand New,90.0,8336,79.59,79.59,79.42
MY,T사,y0,AWD,w2,No,Pre-Owned,58.707,54998,75.45,75.45,75.45
Tay,P사,y0,AWD,w2,No,Brand New,90.0,227,96.73,103.0,96.73
Q4eT,A사,y0,AWD,w0,No,Pre-Owned,59.154,61252,55.4,55.4,55.4
Soul,K사,y0,FWD,w9,No,Brand New,90.0,558,20.45,20.45,20.22
Niro,K사,y0,AWD,w10,Yes,Brand New,90.0,1191,21.35,21.35,21.36
MS,T사,y0,AWD,w7,No,Brand New,96.0,205,69.68,69.68,69.69
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,11901,159.04,159.04,159.05
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,138882,128.63,125.0,127.67
Soul,K사,y1,AWD,w7,No,Nearly New,56.623,11563,22.81,22.81,22.81
ION5,H사,y0,AWD,w1,No,Pre-Owned,53.602,98461,34.08,34.08,34.08
